FSC-A	FSC-H	SSC-A	<PE-A>: JAK1	<PerCP-Cy5-5-A>: CD25	<Pacific Blue-A>: pSTAT5	<APC-A>: STAT5
57216	51136	73344	5250.29688	15695.3115	9231.3125	7370.56982
57600	53824	1.24223995e5	5543.73926	14507.4336	36767.6562	10883.7021
56384	51072	95552	3338.35303	11794.833	21278.248	9501.13184
83776	81280	81216	5794.05811	20964.127	38528.7422	9355.61621
38464	28032	1.20576e5	5849.61426	10549.2715	17323.0137	10275.5488
37312	36288	50240	3211.55005	13365.625	6342.84033	6486.53564
67008	61312	92544	5482.37646	14440.7061	21278.248	9685.98926
51392	40384	1.48352003e5	7054.44873	11866.249	40385.125	12198.2686
45504	41280	89664	4861.61865	8381.40137	25826.7422	8346.15918
88256	80832	89920	4969.26562	16631.3066	8005.51709	8496.25488
49984	44672	1.06560004e5	8263.33398	23734.5684	21859.8184	19326.2168
49600	44352	73664	4247.76611	5694.47266	23527.8477	7037.51367
75648	71744	85952	4987.34717	15734.6328	9982.74805	6814.68213
37376	32256	85952	5867.43018	10085.7607	21756.1758	8829.44238
78784	69376	57600	2118.56714	6820.58984	1373.76758	4295.15576
53056	48384	1.24031997e5	7535.57568	19897.248	24448.5586	9695.24512
39104	35968	48128	4494.09863	12080.2295	3278.94556	8662.43164
46784	38336	80256	4841.96924	10511.2666	18426.3047	7585.87744
59200	55296	1.09695995e5	7604.10645	21956.9414	3423.51929	18535.7363
75584	73024	59136	4759.22412	13400.4717	14512.0742	11642.4355
45312	41344	94016	4490.30469	9652.32227	21702.3691	11388.8174
78656	82176	72640	6935.54883	15137.542	21198.8887	11850.7119
61248	52096	1.48031998e5	11839.0762	27617.0938	37469.875	14299.3096
97280	99520	1.08671999e5	5836.30664	8369.37305	4933.52002	7479.85693
57728	55552	82624	7992.5498	7445.85791	9732.57715	10740.7734
55360	54080	1.08992004e5	5303.25781	15715.1006	27263.9766	13412.7861
45888	45312	70656	4973.68164	12848.7842	31085.668	7561.46045
56000	52288	1.03680003e5	5797.11621	13403.7412	25182.3223	11796.5518
44288	41152	62336	4996.3418	13755.6797	26375.1367	12419.707
34688	27072	93952	6429.50098	9110.09961	24159.1191	11154.3662
51776	46208	56000	1894.87769	3916.18457	9910.35352	4413.48047
62016	48960	97792	3716.11548	4195.24121	15996.499	9189.92871
31168	23296	1.00735998e5	3850.81445	7198.74609	15841.6494	7397.91162
79296	79168	1.31584001e5	5736.45215	11589.3838	30753.5508	13167.8691
56000	52288	81088	7884.40625	7480.5498	24600.6016	6728.54541
77696	71488	1.10207999e5	2510.52441	10189.7324	14095.1709	13342.5332
83712	78144	64640	3916.13013	15619.2568	10612.2529	5530.48828
66432	66496	1.14624e5	9750.18652	23796.9023	53441.3086	19671.2695
47488	44032	82112	6961.62305	16721.3613	23425.2891	7725.75586
16256	10944	58688	4950.50098	11293.3809	2169.12598	8058.24414
30464	20480	1.13471997e5	6761.31543	17944.2559	11093.9678	9591.4502
62720	57856	1.55903997e5	9441.65332	24857.4355	35812.7109	27887.4844
35200	32000	86080	3682.12598	11277.6162	18031.5039	9383.48828
20800	17152	68992	3362.23145	5668.97412	21833.2227	8673.5127
69376	62016	84544	6991.75049	22966.793	23294.2383	16342.9346
76544	71232	76288	4178.87061	12733.5566	16082.4795	6782.33984
25920	20160	74048	4644.29492	11909.2051	24162.5176	11133.8701
38464	32768	87872	4029.98901	12736.3525	28003.4102	12525.9014
75840	59648	1.03103995e5	5767.59521	3663.83887	18576.2246	9809.99414
36736	30080	1.14624e5	8262.74414	22818.8691	5818.40186	14754.7578
45120	36544	1.23264003e5	12404.3438	29330.2539	32732.4688	16515.9121
48448	45312	1.40672007e5	7615.11719	15102.1709	39266.9258	11479.3564
45312	37504	78912	3683.8772	9581.8623	16001.3047	7536.2417
49920	47680	74560	4436.9165	14442.958	22296.7207	8021.37646
39680	34560	79488	3341.86572	7344.73291	23465.6992	7425.31104
73600	69312	89856	4369.05273	10126.1475	11200.7734	9801.91602
37184	28160	85888	4753.98486	13091.8945	3389.76855	12568.2979
51264	51584	67776	2720.94092	11947.6299	21490.3281	7233.22314
48064	39552	1.00416005e5	5431.83984	10535.3525	23897.8555	10212.3916
48512	47168	78080	4429.06934	8090.53174	21641.5723	16369.2754
54976	52288	81024	6791.42236	12613.2354	17156.5762	12775.46
64640	61632	1.28320003e5	5016.2915	10310.3545	23235.9531	7813.33545
58688	55360	73088	5086.2749	9277.25391	14070.7119	7712.77783
32896	32448	51136	2473.53564	1750.0105	19725.3418	7636.2251
49280	45248	92032	5052.13379	11215.0049	26500.4473	8510.27246
51264	44800	93312	7442.36572	12350.1182	34443.8516	13714.1133
28288	17280	1.42079997e5	7415.33984	22404.0898	21157.9238	14733.0068
44160	33088	1.07135999e5	5835.31641	10466.4541	28754.8613	7876.15234
42816	38784	71680	7167.9248	10603.1094	29154.1895	9461.44727
31744	28096	77568	6186.47119	5211.97705	31852.9102	9755.13281
48576	44736	96384	5366.44629	15348.3154	19489.6406	8415.56348
74048	72896	1.08671999e5	4738.2998	7489.73486	17161.2188	7081.0918
48896	39936	1.46560001e5	7818.3208	13800.5146	51866.2148	10350.7324
32640	23232	1.11616004e5	8182.54639	22090.1777	22975.4863	10845.5195
51776	43456	1.23520005e5	7572.03223	16396.1992	13529.7939	19146.873
30976	21504	93120	4351.05713	16255.1484	13501.8438	6735.91211
32064	29568	56192	3745.58008	4947.28564	16510.2383	5504.18604
47168	33856	1.32415998e5	5185.45459	10212.3662	46029.9453	12239.4053
29504	26176	74048	7512.43555	11256.4121	41927.1602	8636.5791
52608	47808	1.36064005e5	7752.90234	24588.377	20652.377	14267.8066
43456	41920	74304	6594.43311	8813.25098	23961.1973	7994.36523
58624	60032	89472	6464.7085	6298.22559	18276.4199	8694.41309
76928	74752	70912	4705.65479	13403.3389	25277.5957	8873.38672
